iter	Passed	Remaining
862	1111	176
863	1112	175
864	1113	173
865	1115	172
866	1116	171
867	1117	169
868	1118	168
869	1119	167
870	1120	165
871	1121	164
872	1121	163
873	1122	161
874	1123	160
875	1124	159
876	1125	157
877	1125	156
878	1126	155
879	1128	153
880	1130	152
881	1131	151
882	1132	150
883	1132	148
884	1133	147
885	1134	145
886	1135	144
887	1135	143
888	1136	141
889	1137	140
890	1138	139
891	1139	137
892	1139	136
893	1140	135
894	1141	133
895	1142	132
896	1144	131
897	1145	130
898	1146	128
899	1147	127
900	1148	126
901	1149	124
902	1149	123
903	1150	122
904	1151	120
905	1152	119
906	1152	118
907	1153	116
908	1154	115
909	1155	114
910	1155	112
911	1157	111
912	1158	110
913	1160	109
914	1161	107
915	1161	106
916	1162	105
917	1163	103
918	1164	102
919	1165	101
920	1166	100
921	1167	98
922	1167	97
923	1168	96
924	1169	94
925	1170	93
926	1171	92
927	1172	90
928	1173	89
929	1174	88
930	1175	87
931	1177	85
932	1178	84
933	1178	83
934	1179	82
935	1180	80
936	1181	79
937	1182	78
938	1182	76
939	1183	75
940	1184	74
941	1185	72
942	1186	71
943	1187	70
944	1189	69
945	1190	67
946	1191	66
947	1192	65
948	1193	64
949	1194	62
950	1194	61
951	1195	60
952	1196	59
953	1197	57
954	1198	56
955	1198	55
956	1199	53
957	1200	52
958	1201	51
959	1202	50
960	1203	48
961	1205	47
962	1206	46
963	1207	45
964	1207	43
965	1208	42
966	1209	41
967	1210	40
968	1211	38
969	1212	37
970	1213	36
971	1213	34
972	1214	33
973	1215	32
974	1216	31
975	1218	29
976	1219	28
977	1220	27
978	1221	26
979	1222	24
980	1223	23
981	1224	22
982	1225	21
983	1226	19
984	1226	18
985	1227	17
986	1228	16
987	1229	14
988	1229	13
989	1231	12
990	1236	11
991	1238	9
992	1239	8
993	1242	7
994	1244	6
995	1246	5
996	1251	3
997	1253	2
998	1254	1
999	1256	0
